,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459753.8779861,99.0,99.0,i,20.6248897072331,2.0,1.0
3,2459753.8784606,99.0,99.0,i,20.5767443920825,2.0,1.0
8,2459756.9191204,99.0,99.0,i,20.6052787725463,2.0,1.0
9,2459756.9210069,21.1204147662832,0.253088296226792,i,20.9541203999231,2.0,1.0
14,2459759.8785764,99.0,99.0,i,20.2627182351845,2.0,1.0
15,2459759.8795255,99.0,99.0,i,20.6803486967065,2.0,1.0
18,2459759.934838,99.0,99.0,g,21.1977621561876,2.0,1.0
20,2459758.8987963,18.8533039093018,0.126275822520256,r,99.0,1.0,0.0
21,2459758.9185417,18.7189998626709,0.161840006709099,r,99.0,1.0,0.0
23,2459758.8987963,18.8533039093018,0.126275822520256,r,99.0,1.0,0.0
24,2459758.9185417,18.7189998626709,0.161840006709099,r,99.0,1.0,0.0
25,2459758.9185417,18.7189998626709,0.161840006709099,r,99.0,1.0,0.0
