,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459735.9720139,17.9437637329102,0.0847996920347214,r,99.0,1,0.0
1,2459735.9743866,17.7498836517334,0.0611531175673008,r,99.0,1,0.0
2,2459735.9767477,17.7955703735352,0.0598798207938671,r,99.0,1,0.0
3,2459735.9791204,17.8107681274414,0.0531556010246277,r,99.0,1,0.0
4,2459735.9814931,17.6777515411377,0.0596370175480843,r,99.0,1,0.0
5,2459736.9720255,16.6894359588623,0.0346776731312275,r,99.0,1,0.0
6,2459736.9743866,16.7917709350586,0.0350308641791344,r,99.0,1,0.0
7,2459736.9767593,16.7539939880371,0.0375820659101009,r,99.0,1,0.0
8,2459736.9791204,16.6962013244629,0.0307380426675081,r,99.0,1,0.0
9,2459736.9814815,16.6187744140625,0.0243516266345978,r,99.0,1,0.0
10,2459737.9688657,17.7652645111084,0.0269924402236938,r,99.0,1,0.0
11,2459737.9707639,17.6644554138184,0.0359027460217476,r,99.0,1,0.0
12,2459737.9726736,17.6531600952148,0.0313512533903122,r,99.0,1,0.0
13,2459737.9750347,17.801965713501,0.044547613710165,r,99.0,1,0.0
14,2459737.9773843,17.5972862243652,0.0424512065947056,r,99.0,1,0.0
15,2459742.9616088,19.13694190979,0.12278413772583,r,99.0,1,0.0
16,2459742.9636111,18.9746913909912,0.126013308763504,r,99.0,1,0.0
17,2459742.965625,19.0671157836914,0.136742949485779,r,99.0,1,0.0
18,2459742.9676273,18.9889354705811,0.123767718672752,r,99.0,1,0.0
19,2459735.9720139,17.9437637329102,0.0847996920347214,r,99.0,1,0.0
20,2459735.9743866,17.7498836517334,0.0611531175673008,r,99.0,1,0.0
21,2459735.9767477,17.7955703735352,0.0598798207938671,r,99.0,1,0.0
22,2459735.9791204,17.8107681274414,0.0531556010246277,r,99.0,1,0.0
23,2459735.9814931,17.6777515411377,0.0596370175480843,r,99.0,1,0.0
24,2459736.9743866,16.7917709350586,0.0350308641791344,r,99.0,1,0.0
25,2459736.9767593,16.7539939880371,0.0375820659101009,r,99.0,1,0.0
26,2459736.9791204,16.6962013244629,0.0307380426675081,r,99.0,1,0.0
27,2459736.9814815,16.6187744140625,0.0243516266345978,r,99.0,1,0.0
28,2459737.9688657,17.7652645111084,0.0269924402236938,r,99.0,1,0.0
29,2459737.9707639,17.6644554138184,0.0359027460217476,r,99.0,1,0.0
30,2459737.9726736,17.6531600952148,0.0313512533903122,r,99.0,1,0.0
31,2459737.9750347,17.801965713501,0.044547613710165,r,99.0,1,0.0
32,2459737.9773843,17.5972862243652,0.0424512065947056,r,99.0,1,0.0
33,2459742.9616088,19.13694190979,0.12278413772583,r,99.0,1,0.0
34,2459742.9636111,18.9746913909912,0.126013308763504,r,99.0,1,0.0
35,2459742.965625,19.0671157836914,0.136742949485779,r,99.0,1,0.0
36,2459742.9676273,18.9889354705811,0.123767718672752,r,99.0,1,0.0
37,2459735.9720139,17.9437637329102,0.0847996920347214,r,99.0,1,0.0
38,2459735.9743866,17.7498836517334,0.0611531175673008,r,99.0,1,0.0
39,2459735.9791204,17.8107681274414,0.0531556010246277,r,99.0,1,0.0
40,2459735.9814931,17.6777515411377,0.0596370175480843,r,99.0,1,0.0
41,2459736.9743866,16.7917709350586,0.0350308641791344,r,99.0,1,0.0
42,2459736.9767593,16.7539939880371,0.0375820659101009,r,99.0,1,0.0
43,2459736.9791204,16.6962013244629,0.0307380426675081,r,99.0,1,0.0
44,2459736.9814815,16.6187744140625,0.0243516266345978,r,99.0,1,0.0
45,2459737.9688657,17.7652645111084,0.0269924402236938,r,99.0,1,0.0
46,2459737.9707639,17.6644554138184,0.0359027460217476,r,99.0,1,0.0
47,2459737.9726736,17.6531600952148,0.0313512533903122,r,99.0,1,0.0
48,2459737.9750347,17.801965713501,0.044547613710165,r,99.0,1,0.0
49,2459737.9773843,17.5972862243652,0.0424512065947056,r,99.0,1,0.0
50,2459742.9616088,19.13694190979,0.12278413772583,r,99.0,1,0.0
51,2459742.9636111,18.9746913909912,0.126013308763504,r,99.0,1,0.0
52,2459742.965625,19.0671157836914,0.136742949485779,r,99.0,1,0.0
53,2459742.9676273,18.9889354705811,0.123767718672752,r,99.0,1,0.0
54,2459735.9720139,17.9437637329102,0.0847996920347214,r,99.0,1,0.0
55,2459735.9743866,17.7498836517334,0.0611531175673008,r,99.0,1,0.0
56,2459735.9791204,17.8107681274414,0.0531556010246277,r,99.0,1,0.0
57,2459735.9814931,17.6777515411377,0.0596370175480843,r,99.0,1,0.0
58,2459736.9767593,16.7539939880371,0.0375820659101009,r,99.0,1,0.0
59,2459736.9791204,16.6962013244629,0.0307380426675081,r,99.0,1,0.0
60,2459736.9814815,16.6187744140625,0.0243516266345978,r,99.0,1,0.0
61,2459737.9688657,17.7652645111084,0.0269924402236938,r,99.0,1,0.0
62,2459737.9707639,17.6644554138184,0.0359027460217476,r,99.0,1,0.0
63,2459737.9726736,17.6531600952148,0.0313512533903122,r,99.0,1,0.0
64,2459737.9750347,17.801965713501,0.044547613710165,r,99.0,1,0.0
65,2459737.9773843,17.5972862243652,0.0424512065947056,r,99.0,1,0.0
66,2459742.9616088,19.13694190979,0.12278413772583,r,99.0,1,0.0
67,2459742.9636111,18.9746913909912,0.126013308763504,r,99.0,1,0.0
68,2459742.965625,19.0671157836914,0.136742949485779,r,99.0,1,0.0
69,2459742.9676273,18.9889354705811,0.123767718672752,r,99.0,1,0.0
70,2459735.9720139,17.9437637329102,0.0847996920347214,r,99.0,1,0.0
71,2459735.9743866,17.7498836517334,0.0611531175673008,r,99.0,1,0.0
72,2459735.9791204,17.8107681274414,0.0531556010246277,r,99.0,1,0.0
73,2459735.9814931,17.6777515411377,0.0596370175480843,r,99.0,1,0.0
74,2459736.9767593,16.7539939880371,0.0375820659101009,r,99.0,1,0.0
75,2459736.9791204,16.6962013244629,0.0307380426675081,r,99.0,1,0.0
76,2459736.9814815,16.6187744140625,0.0243516266345978,r,99.0,1,0.0
77,2459737.9707639,17.6644554138184,0.0359027460217476,r,99.0,1,0.0
78,2459737.9726736,17.6531600952148,0.0313512533903122,r,99.0,1,0.0
79,2459737.9750347,17.801965713501,0.044547613710165,r,99.0,1,0.0
80,2459737.9773843,17.5972862243652,0.0424512065947056,r,99.0,1,0.0
81,2459742.9616088,19.13694190979,0.12278413772583,r,99.0,1,0.0
82,2459742.9636111,18.9746913909912,0.126013308763504,r,99.0,1,0.0
83,2459742.965625,19.0671157836914,0.136742949485779,r,99.0,1,0.0
84,2459742.9676273,18.9889354705811,0.123767718672752,r,99.0,1,0.0
85,2459735.9720139,17.9437637329102,0.0847996920347214,r,99.0,1,0.0
86,2459735.9743866,17.7498836517334,0.0611531175673008,r,99.0,1,0.0
87,2459735.9791204,17.8107681274414,0.0531556010246277,r,99.0,1,0.0
88,2459735.9814931,17.6777515411377,0.0596370175480843,r,99.0,1,0.0
89,2459736.9767593,16.7539939880371,0.0375820659101009,r,99.0,1,0.0
90,2459736.9791204,16.6962013244629,0.0307380426675081,r,99.0,1,0.0
91,2459736.9814815,16.6187744140625,0.0243516266345978,r,99.0,1,0.0
92,2459737.9726736,17.6531600952148,0.0313512533903122,r,99.0,1,0.0
93,2459737.9750347,17.801965713501,0.044547613710165,r,99.0,1,0.0
94,2459737.9773843,17.5972862243652,0.0424512065947056,r,99.0,1,0.0
95,2459742.9616088,19.13694190979,0.12278413772583,r,99.0,1,0.0
96,2459742.9636111,18.9746913909912,0.126013308763504,r,99.0,1,0.0
97,2459742.965625,19.0671157836914,0.136742949485779,r,99.0,1,0.0
98,2459742.9676273,18.9889354705811,0.123767718672752,r,99.0,1,0.0
99,2459735.9720139,17.9437637329102,0.0847996920347214,r,99.0,1,0.0
100,2459735.9743866,17.7498836517334,0.0611531175673008,r,99.0,1,0.0
101,2459735.9791204,17.8107681274414,0.0531556010246277,r,99.0,1,0.0
102,2459735.9814931,17.6777515411377,0.0596370175480843,r,99.0,1,0.0
