,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459737.9204977,17.0520973205566,0.0463214740157127,g,99.0,1,0.0
1,2459737.9439352,16.9979057312012,0.0459913164377213,r,99.0,1,0.0
2,2459739.8997917,17.5716171264648,0.0361713655292988,g,99.0,1,0.0
3,2459739.9426273,17.6899547576904,0.0467437878251076,r,99.0,1,0.0
4,2459741.8625,18.1739730834961,0.0747904404997826,r,99.0,1,0.0
5,2459741.9211111,18.0160808563232,0.0563494712114334,g,99.0,1,0.0
6,2459737.9204977,17.0520973205566,0.0463214740157127,g,99.0,1,0.0
7,2459737.9439352,16.9979057312012,0.0459913164377213,r,99.0,1,0.0
8,2459739.9426273,17.6899547576904,0.0467437878251076,r,99.0,1,0.0
9,2459741.8625,18.1739730834961,0.0747904404997826,r,99.0,1,0.0
10,2459741.9211111,18.0160808563232,0.0563494712114334,g,99.0,1,0.0
11,2459737.9204977,17.0520973205566,0.0463214740157127,g,99.0,1,0.0
12,2459737.9439352,16.9979057312012,0.0459913164377213,r,99.0,1,0.0
13,2459739.9426273,17.6899547576904,0.0467437878251076,r,99.0,1,0.0
14,2459741.8625,18.1739730834961,0.0747904404997826,r,99.0,1,0.0
15,2459737.9204977,17.0520973205566,0.0463214740157127,g,99.0,1,0.0
16,2459739.9426273,17.6899547576904,0.0467437878251076,r,99.0,1,0.0
17,2459741.8625,18.1739730834961,0.0747904404997826,r,99.0,1,0.0
18,2459737.9204977,17.0520973205566,0.0463214740157127,g,99.0,1,0.0
19,2459741.8625,18.1739730834961,0.0747904404997826,r,99.0,1,0.0
20,2459737.9204977,17.0520973205566,0.0463214740157127,g,99.0,1,0.0
