,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459466.8171759,99.0,99.0,g,21.5648008351103,2.0,1.0
1,2459466.8511111,99.0,99.0,r,21.391639148432,2.0,1.0
2,2459466.8937616,99.0,99.0,r,21.2970609645902,2.0,1.0
3,2459466.91,99.0,99.0,g,21.3047847057391,2.0,1.0
4,2459467.7147338,99.0,99.0,g,21.2334613989136,2.0,1.0
5,2459467.7461343,99.0,99.0,r,21.67475594158,2.0,1.0
6,2459467.8207986,99.0,99.0,i,21.0731083389606,2.0,1.0
7,2459467.8701273,99.0,99.0,r,20.5914302990648,2.0,1.0
8,2459467.9376389,99.0,99.0,g,20.855220193774,2.0,1.0
9,2459468.6872685,99.0,99.0,g,21.519788951314,2.0,1.0
10,2459468.838831,99.0,99.0,r,21.3675094675612,2.0,1.0
11,2459468.9324769,99.0,99.0,g,21.0293910037526,2.0,1.0
12,2459469.8506944,99.0,99.0,g,21.4162115623631,2.0,1.0
13,2459469.8717477,99.0,99.0,r,21.1611596368608,2.0,1.0
14,2459470.7329977,99.0,99.0,g,21.5497168884025,2.0,1.0
15,2459470.7590278,99.0,99.0,r,21.4443262565395,2.0,1.0
16,2459470.8676389,99.0,99.0,g,21.4528190963692,2.0,1.0
17,2459470.9089005,99.0,99.0,r,21.0973230225293,2.0,1.0
18,2459471.721713,99.0,99.0,r,20.8606875544562,2.0,1.0
19,2459471.7479051,99.0,99.0,r,20.8256619060853,2.0,1.0
20,2459471.7579861,99.0,99.0,g,21.0398423439455,2.0,1.0
21,2459471.8754167,19.8836720268374,0.0887917821834966,g,20.8546258833942,2.0,1.0
22,2459471.9041204,19.9166468943625,0.206595648050274,i,19.9707297613524,2.0,1.0
23,2459472.8679051,16.7329163527544,0.00741074029156386,r,20.4001481574972,2.0,1.0
24,2459472.9077199,16.8955538935523,0.00873732657252157,g,20.3839932613586,2.0,1.0
25,2459473.6892593,16.9198511951882,0.00959328851671695,g,20.3068182192597,2.0,1.0
26,2459473.9422338,17.6977473555282,0.0184439920097005,r,20.3749958311133,2.0,1.0
27,2459474.6608218,17.4783319790248,0.0170323927926513,g,20.2420286080383,2.0,1.0
28,2459474.6962616,17.6425322225815,0.020616281972971,i,20.1988921478851,2.0,1.0
29,2459474.8711343,17.6469120183214,0.019588662255748,g,20.2587858617322,2.0,1.0
30,2459472.8679051,16.760124206543,0.0329875089228153,r,99.0,2.0,0.0
31,2459472.9077199,16.8970565795898,0.0332557074725628,g,99.0,2.0,0.0
32,2459473.6892593,16.940408706665,0.0381573140621185,g,99.0,2.0,0.0
33,2459473.8637037,17.0773525238037,0.0370711348950863,g,99.0,1.0,0.0
34,2459473.9250579,17.1598834991455,0.0417394265532494,r,99.0,1.0,0.0
35,2459473.9422338,17.7036399841309,0.0444609858095646,r,99.0,2.0,0.0
36,2459474.6608218,17.4869556427002,0.0471942014992237,g,99.0,2.0,0.0
37,2459474.6962616,17.7098255157471,0.0664009302854538,i,99.0,2.0,0.0
38,2459474.8711343,17.6507110595703,0.0513941384851933,g,99.0,2.0,0.0
39,2459472.9077199,16.8970565795898,0.0332557074725628,g,99.0,2.0,0.0
40,2459473.6892593,16.940408706665,0.0381573140621185,g,99.0,2.0,0.0
41,2459473.8637037,17.0773525238037,0.0370711348950863,g,99.0,1.0,0.0
42,2459473.9250579,17.1598834991455,0.0417394265532494,r,99.0,1.0,0.0
43,2459473.9422338,17.7036399841309,0.0444609858095646,r,99.0,2.0,0.0
44,2459474.6608218,17.4869556427002,0.0471942014992237,g,99.0,2.0,0.0
45,2459474.6962616,17.7098255157471,0.0664009302854538,i,99.0,2.0,0.0
46,2459474.8711343,17.6507110595703,0.0513941384851933,g,99.0,2.0,0.0
47,2459472.9077199,16.8970565795898,0.0332557074725628,g,99.0,2.0,0.0
48,2459473.8637037,17.0773525238037,0.0370711348950863,g,99.0,1.0,0.0
49,2459473.9250579,17.1598834991455,0.0417394265532494,r,99.0,1.0,0.0
50,2459473.9422338,17.7036399841309,0.0444609858095646,r,99.0,2.0,0.0
51,2459474.6608218,17.4869556427002,0.0471942014992237,g,99.0,2.0,0.0
52,2459474.6962616,17.7098255157471,0.0664009302854538,i,99.0,2.0,0.0
53,2459474.8711343,17.6507110595703,0.0513941384851933,g,99.0,2.0,0.0
54,2459472.9077199,16.8970565795898,0.0332557074725628,g,99.0,2.0,0.0
55,2459473.9250579,17.1598834991455,0.0417394265532494,r,99.0,1.0,0.0
