,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459428.9772338,17.6086902618408,0.0639596506953239,r,99.0,1,0.0
1,2459428.9796875,17.5254077911377,0.0783293098211288,r,99.0,1,0.0
2,2459428.9821528,17.4793815612793,0.0511565282940865,r,99.0,1,0.0
3,2459428.9846181,17.4545497894287,0.0580111481249332,r,99.0,1,0.0
4,2459428.9870833,17.5271663665771,0.0523649007081985,r,99.0,1,0.0
5,2459429.9778819,17.9832954406738,0.0715285539627075,r,99.0,1,0.0
6,2459429.9803472,17.9354457855225,0.0596390031278133,r,99.0,1,0.0
7,2459429.9828125,17.766092300415,0.05803107842803,r,99.0,1,0.0
8,2459429.9852778,17.8456630706787,0.0603288002312183,r,99.0,1,0.0
9,2459429.9877431,17.8173370361328,0.0505290739238262,r,99.0,1,0.0
10,2459430.9794329,18.234281539917,0.0837638601660728,r,99.0,1,0.0
11,2459430.9818981,18.2600688934326,0.0863963216543198,r,99.0,1,0.0
12,2459430.9843634,18.2826461791992,0.0816555172204971,r,99.0,1,0.0
13,2459430.9868287,18.3516635894775,0.0750980228185654,r,99.0,1,0.0
14,2459430.9892824,18.4657421112061,0.0855886563658714,r,99.0,1,0.0
15,2459428.9772338,17.6086902618408,0.0639596506953239,r,99.0,1,0.0
16,2459428.9796875,17.5254077911377,0.0783293098211288,r,99.0,1,0.0
17,2459428.9821528,17.4793815612793,0.0511565282940865,r,99.0,1,0.0
18,2459428.9846181,17.4545497894287,0.0580111481249332,r,99.0,1,0.0
19,2459429.9778819,17.9832954406738,0.0715285539627075,r,99.0,1,0.0
20,2459429.9803472,17.9354457855225,0.0596390031278133,r,99.0,1,0.0
21,2459429.9828125,17.766092300415,0.05803107842803,r,99.0,1,0.0
22,2459429.9852778,17.8456630706787,0.0603288002312183,r,99.0,1,0.0
23,2459429.9877431,17.8173370361328,0.0505290739238262,r,99.0,1,0.0
24,2459430.9794329,18.234281539917,0.0837638601660728,r,99.0,1,0.0
25,2459430.9818981,18.2600688934326,0.0863963216543198,r,99.0,1,0.0
26,2459430.9843634,18.2826461791992,0.0816555172204971,r,99.0,1,0.0
27,2459430.9868287,18.3516635894775,0.0750980228185654,r,99.0,1,0.0
28,2459430.9892824,18.4657421112061,0.0855886563658714,r,99.0,1,0.0
29,2459428.9796875,17.5254077911377,0.0783293098211288,r,99.0,1,0.0
30,2459428.9821528,17.4793815612793,0.0511565282940865,r,99.0,1,0.0
31,2459428.9846181,17.4545497894287,0.0580111481249332,r,99.0,1,0.0
32,2459429.9778819,17.9832954406738,0.0715285539627075,r,99.0,1,0.0
33,2459429.9803472,17.9354457855225,0.0596390031278133,r,99.0,1,0.0
34,2459429.9828125,17.766092300415,0.05803107842803,r,99.0,1,0.0
35,2459429.9852778,17.8456630706787,0.0603288002312183,r,99.0,1,0.0
36,2459429.9877431,17.8173370361328,0.0505290739238262,r,99.0,1,0.0
37,2459430.9794329,18.234281539917,0.0837638601660728,r,99.0,1,0.0
38,2459430.9818981,18.2600688934326,0.0863963216543198,r,99.0,1,0.0
39,2459430.9843634,18.2826461791992,0.0816555172204971,r,99.0,1,0.0
40,2459430.9868287,18.3516635894775,0.0750980228185654,r,99.0,1,0.0
41,2459430.9892824,18.4657421112061,0.0855886563658714,r,99.0,1,0.0
42,2459428.9821528,17.4793815612793,0.0511565282940865,r,99.0,1,0.0
43,2459428.9846181,17.4545497894287,0.0580111481249332,r,99.0,1,0.0
44,2459429.9778819,17.9832954406738,0.0715285539627075,r,99.0,1,0.0
45,2459429.9803472,17.9354457855225,0.0596390031278133,r,99.0,1,0.0
46,2459429.9828125,17.766092300415,0.05803107842803,r,99.0,1,0.0
47,2459429.9852778,17.8456630706787,0.0603288002312183,r,99.0,1,0.0
48,2459429.9877431,17.8173370361328,0.0505290739238262,r,99.0,1,0.0
