,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459928.851169,99.0,99.0,r,19.7676593253276,2.0,1.0
1,2459928.8675,99.0,99.0,g,17.9686031811974,2.0,1.0
2,2459928.9999769,20.2973954416085,0.203120053429994,r,20.3698992254367,2.0,1.0
3,2459929.0325579,20.4706485962387,0.236879417367071,g,20.3762160698702,2.0,1.0
4,2459929.8727083,19.8180603661817,0.243974092056787,g,19.6915868791206,2.0,1.0
5,2459930.8978588,20.4032378384386,0.158516077233284,g,20.7449403365461,2.0,1.0
6,2459930.9907292,20.4808171286589,0.198185441711659,g,20.5800235453604,2.0,1.0
7,2459931.0480093,20.0570041898429,0.134603890332896,r,20.5762459487224,2.0,1.0
8,2459932.8483449,20.1102886846352,0.102317534135108,r,20.9272993111081,2.0,1.0
9,2459932.8774306,20.2311804798746,0.12611760455157,r,20.8211269858013,2.0,1.0
10,2459930.8978588,20.2956008911133,0.27641299366951,g,99.0,2.0,0.0
11,2459931.0480093,19.9873466491699,0.191161617636681,r,99.0,2.0,0.0
12,2459932.0285417,20.3610000610352,0.319357007741928,g,99.0,1.0,0.0
13,2459932.8483449,20.0683631896973,0.191540613770485,r,99.0,2.0,0.0
14,2459930.8978588,20.2956008911133,0.27641299366951,g,99.0,2.0,0.0
15,2459931.0480093,19.9873466491699,0.191161617636681,r,99.0,2.0,0.0
16,2459932.0285417,20.3610000610352,0.319357007741928,g,99.0,1.0,0.0
17,2459931.0480093,19.9873466491699,0.191161617636681,r,99.0,2.0,0.0
18,2459932.0285417,20.3610000610352,0.319357007741928,g,99.0,1.0,0.0
19,2459932.0285417,20.3610000610352,0.319357007741928,g,99.0,1.0,0.0
