,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459701.9153819,99.0,99.0,g,21.4778485763001,2.0,1.0
1,2459701.9283565,99.0,99.0,g,21.5758551655719,2.0,1.0
2,2459702.7641551,99.0,99.0,r,21.0457753341066,2.0,1.0
3,2459702.7855787,99.0,99.0,g,21.3596809683394,2.0,1.0
4,2459702.8237037,99.0,99.0,g,21.4503064845712,2.0,1.0
5,2459702.8490625,99.0,99.0,r,21.4060305577401,2.0,1.0
6,2459702.9134028,99.0,99.0,r,20.805723571916,2.0,1.0
7,2459707.727419,99.0,99.0,r,20.4140735109381,2.0,1.0
8,2459707.8069444,20.3817799200368,0.171776669987385,r,20.6362552606777,2.0,1.0
9,2459707.8472801,20.352735337943,0.161746785367612,r,20.6725319819048,2.0,1.0
10,2459707.89375,20.4906642582869,0.214696664335017,r,20.5029868048502,2.0,1.0
11,2459708.750081,20.1646844017493,0.167563026911075,r,20.4461246983612,2.0,1.0
12,2459708.7559144,20.4489222347348,0.207599145948189,r,20.4977441175368,2.0,1.0
13,2459708.827338,20.1033192926593,0.173816568029685,r,20.3449771551956,2.0,1.0
14,2459708.874375,20.1573513960419,0.10226745399026,r,20.9748935749809,2.0,1.0
15,2459709.7122338,20.0619115614522,0.119349530669444,r,20.7117455617315,2.0,1.0
16,2459709.8094792,20.0074596685654,0.145238243202069,r,20.4441429900115,2.0,1.0
17,2459709.8486806,19.7570437638476,0.101008334067981,r,20.588036532086,2.0,1.0
18,2459709.8891435,20.0250179599235,0.0947567809193696,r,20.9253780029293,2.0,1.0
19,2459710.6954977,19.4551735453526,0.117098574613372,g,20.1256803128458,2.0,1.0
20,2459710.7483449,19.5885154166615,0.12400699369282,r,20.1967857582394,2.0,1.0
21,2459710.8225463,19.5458983390678,0.108010568679193,g,20.3041184965138,2.0,1.0
22,2459710.8946065,19.777678703934,0.116349230127398,r,20.4551557081655,2.0,1.0
23,2459707.89375,20.5195999145508,0.255459010601044,r,99.0,2.0,0.0
24,2459708.750081,20.1679992675781,0.28583499789238,r,99.0,2.0,0.0
25,2459708.827338,20.1252994537354,0.28692901134491,r,99.0,2.0,0.0
26,2459708.874375,20.1647415161133,0.191612064838409,r,99.0,2.0,0.0
27,2459709.7122338,20.0415992736816,0.246070995926857,r,99.0,2.0,0.0
28,2459709.8094792,19.9810009002686,0.238885000348091,r,99.0,2.0,0.0
29,2459709.8477315,19.9444007873535,0.18503600358963,r,99.0,1.0,0.0
30,2459709.8486806,19.775369644165,0.158773511648178,r,99.0,2.0,0.0
31,2459709.8857176,19.9568843841553,0.188679158687592,r,99.0,1.0,0.0
32,2459710.6954977,19.4313411712646,0.184242069721222,g,99.0,2.0,0.0
33,2459710.7483449,19.5858001708984,0.196279004216194,r,99.0,2.0,0.0
34,2459710.8225463,19.5853004455566,0.219980999827385,g,99.0,2.0,0.0
35,2459710.8946065,19.7702884674072,0.200765937566757,r,99.0,2.0,0.0
36,2459711.7015046,19.3380374908447,0.163698613643646,g,99.0,2.0,0.0
37,2459711.7416551,19.3523483276367,0.184209525585175,g,99.0,2.0,0.0
38,2459711.7465162,19.4143238067627,0.171679228544235,g,99.0,1.0,0.0
39,2459711.7875463,19.6523990631104,0.379031985998154,r,99.0,2.0,0.0
40,2459711.8457523,19.6033000946045,0.264764010906219,r,99.0,1.0,0.0
41,2459711.8669097,19.4128513336182,0.177597686648369,r,99.0,2.0,0.0
