,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459435.77625,17.1789052400681,0.00998493388527666,r,20.522428045265,2.0,1.0
2,2459440.7076505,19.7864402205088,0.106530360380381,g,20.5596425191158,2.0,1.0
4,2459441.7678588,19.6171186993192,0.0936715538688917,g,20.5299851769704,2.0,1.0
6,2459448.7851273,99.0,99.0,r,20.0003715344005,2.0,1.0
8,2459435.77625,17.20241355896,0.0984125286340714,r,99.0,2.0,0.0
9,2459440.7076505,19.8111438751221,0.203100070357323,g,99.0,2.0,0.0
11,2459441.7678588,19.607967376709,0.189506337046623,g,99.0,2.0,0.0
12,2459440.7076505,19.8111438751221,0.203100070357323,g,99.0,2.0,0.0
14,2459441.7678588,19.607967376709,0.189506337046623,g,99.0,2.0,0.0
16,2459441.7678588,19.607967376709,0.189506337046623,g,99.0,2.0,0.0
17,2459441.7678588,19.607967376709,0.189506337046623,g,99.0,2.0,0.0
