,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459901.9617014,18.5552673339844,0.092363178730011,g,99.0,1.0,0.0
3,2459901.9821991,18.5218982696533,0.0703205019235611,r,99.0,1.0,0.0
4,2459902.9601157,17.948205947876,0.0728316977620125,g,99.0,1.0,0.0
5,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
6,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
8,2459904.9648032,19.1611995697021,0.106913894414902,r,99.0,1.0,0.0
9,2459906.8416435,19.5007476806641,0.162586718797684,g,99.0,1.0,0.0
10,2459906.940081,19.4533214569092,0.153708696365356,r,99.0,1.0,0.0
11,2459909.9015046,19.9353580474854,0.187391802668571,r,99.0,1.0,0.0
12,2459901.9617014,18.5552673339844,0.092363178730011,g,99.0,1.0,0.0
13,2459901.9821991,18.5218982696533,0.0703205019235611,r,99.0,1.0,0.0
14,2459902.9601157,17.948205947876,0.0728316977620125,g,99.0,1.0,0.0
15,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
16,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
17,2459904.9648032,19.1611995697021,0.106913894414902,r,99.0,1.0,0.0
18,2459906.8416435,19.5007476806641,0.162586718797684,g,99.0,1.0,0.0
19,2459906.940081,19.4533214569092,0.153708696365356,r,99.0,1.0,0.0
20,2459909.9015046,19.9353580474854,0.187391802668571,r,99.0,1.0,0.0
21,2459901.9617014,18.5552673339844,0.092363178730011,g,99.0,1.0,0.0
22,2459901.9821991,18.5218982696533,0.0703205019235611,r,99.0,1.0,0.0
23,2459902.9601157,17.948205947876,0.0728316977620125,g,99.0,1.0,0.0
24,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
25,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
26,2459906.8416435,19.5007476806641,0.162586718797684,g,99.0,1.0,0.0
27,2459906.940081,19.4533214569092,0.153708696365356,r,99.0,1.0,0.0
28,2459909.9015046,19.9353580474854,0.187391802668571,r,99.0,1.0,0.0
29,2459901.9617014,18.5552673339844,0.092363178730011,g,99.0,1.0,0.0
30,2459901.9821991,18.5218982696533,0.0703205019235611,r,99.0,1.0,0.0
31,2459902.9601157,17.948205947876,0.0728316977620125,g,99.0,1.0,0.0
32,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
33,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
34,2459906.940081,19.4533214569092,0.153708696365356,r,99.0,1.0,0.0
35,2459909.9015046,19.9353580474854,0.187391802668571,r,99.0,1.0,0.0
36,2459901.9617014,18.5552673339844,0.092363178730011,g,99.0,1.0,0.0
37,2459901.9821991,18.5218982696533,0.0703205019235611,r,99.0,1.0,0.0
38,2459902.9601157,17.948205947876,0.0728316977620125,g,99.0,1.0,0.0
39,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
40,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
41,2459909.9015046,19.9353580474854,0.187391802668571,r,99.0,1.0,0.0
42,2459901.9617014,18.5552673339844,0.092363178730011,g,99.0,1.0,0.0
43,2459901.9821991,18.5218982696533,0.0703205019235611,r,99.0,1.0,0.0
44,2459902.9601157,17.948205947876,0.0728316977620125,g,99.0,1.0,0.0
45,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
46,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
47,2459901.9821991,18.5218982696533,0.0703205019235611,r,99.0,1.0,0.0
48,2459902.9601157,17.948205947876,0.0728316977620125,g,99.0,1.0,0.0
49,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
50,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
51,2459902.9601157,17.948205947876,0.0728316977620125,g,99.0,1.0,0.0
52,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
53,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
54,2459903.0041782,18.4466514587402,0.107441172003746,r,99.0,1.0,0.0
55,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
56,2459904.8995023,18.7843265533447,0.133209526538849,g,99.0,1.0,0.0
