,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459889.9077546,99.0,99.0,g,19.9955148038144,2.0,1.0
1,2459889.9243634,99.0,99.0,i,20.2881978739192,2.0,1.0
2,2459889.9713657,99.0,99.0,r,20.5236969758188,2.0,1.0
3,2459893.9109838,99.0,99.0,g,20.074773803925,2.0,1.0
4,2459893.9517593,99.0,99.0,g,19.8241952575003,2.0,1.0
5,2459893.9527083,99.0,99.0,g,19.9222936794028,2.0,1.0
6,2459894.0196991,99.0,99.0,r,20.064066003326,2.0,1.0
7,2459894.8118866,99.0,99.0,r,19.9112705077335,2.0,1.0
8,2459894.8947569,99.0,99.0,g,19.6250278949474,2.0,1.0
9,2459895.8056713,20.1855938423521,0.210788216951674,r,20.2178638059828,2.0,1.0
10,2459895.8468171,99.0,99.0,i,19.9544997118998,2.0,1.0
11,2459895.8496412,99.0,99.0,i,20.0680322780185,2.0,1.0
12,2459895.8675116,99.0,99.0,g,20.3741244119255,2.0,1.0
13,2459895.8825347,20.1227298281555,0.133122215494177,r,20.6539892753023,2.0,1.0
14,2459896.7982176,99.0,99.0,r,19.7762697710063,2.0,1.0
15,2459896.8217708,99.0,99.0,r,19.8374485254487,2.0,1.0
16,2459896.8809144,99.0,99.0,g,19.5005343919626,2.0,1.0
17,2459896.8813889,99.0,99.0,g,19.790268042335,2.0,1.0
19,2459897.8065856,20.2656587948545,0.26621743068416,r,20.0444533647946,2.0,1.0
20,2459897.8206944,20.1206559942024,0.236185263620547,r,20.0294097906581,2.0,1.0
21,2459897.8465972,99.0,99.0,r,19.8911757135687,2.0,1.0
22,2459897.8652315,99.0,99.0,r,19.774420035367,2.0,1.0
23,2459897.9518634,99.0,99.0,g,20.2141544430652,2.0,1.0
24,2459897.9558681,99.0,99.0,g,20.5192227328252,2.0,1.0
25,2459897.9977199,99.0,99.0,g,20.2982468409944,2.0,1.0
26,2459895.8825347,19.9547996520996,0.243560001254082,r,99.0,2.0,0.0
