,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459837.6630208,20.4989350374246,0.106969594957959,g,21.2676699481549,2.0,1.0
1,2459838.6554282,20.21678478175,0.105908373463733,g,20.9963448253099,2.0,1.0
2,2459839.6576042,19.9887408983443,0.0806283313647217,g,21.064407507446,2.0,1.0
3,2459839.7029051,20.2434797030477,0.0888464826963326,g,21.21376489366,2.0,1.0
5,2459839.7613657,20.2129036002772,0.0763826981575872,g,21.3473019008368,2.0,1.0
6,2459839.7785764,20.0977393792812,0.0721298129154588,g,21.2943381539896,2.0,1.0
7,2459839.8312153,20.0031776974908,0.0788664500694851,g,21.1028327544909,2.0,1.0
9,2459840.7315625,20.067924516654,0.0588776093726096,g,21.4849348860393,2.0,1.0
10,2459840.7889005,20.011795224315,0.0675312881701623,g,21.279918428316,2.0,1.0
11,2459840.8226968,20.0328176206208,0.0693886617772953,g,21.2714821301831,2.0,1.0
12,2459840.8483681,19.9568179075334,0.071986858788347,g,21.1555706387617,2.0,1.0
13,2459840.8833681,20.0972502290637,0.0838110315749532,g,21.1308830528201,2.0,1.0
14,2459838.6554282,20.208667755127,0.191720142960548,g,99.0,2.0,0.0
15,2459839.6576042,19.9990119934082,0.166007429361343,g,99.0,2.0,0.0
16,2459839.7135764,20.1592788696289,0.210270807147026,g,99.0,1.0,0.0
18,2459839.7613657,20.1817836761475,0.171533778309822,g,99.0,2.0,0.0
19,2459839.7776273,19.9986190795898,0.132314950227737,g,99.0,1.0,0.0
20,2459839.7785764,20.1525745391846,0.160933449864388,g,99.0,2.0,0.0
21,2459839.8312153,20.0662002563477,0.185207322239876,g,99.0,2.0,0.0
22,2459840.7315625,20.0732803344727,0.15091960132122,g,99.0,2.0,0.0
23,2459840.7889005,20.0082855224609,0.170669794082642,g,99.0,2.0,0.0
24,2459840.8226968,20.0014533996582,0.151582688093185,g,99.0,2.0,0.0
25,2459840.8483681,19.9660034179688,0.164558187127113,g,99.0,2.0,0.0
26,2459840.8833681,20.0851383209229,0.193005979061127,g,99.0,2.0,0.0
27,2459838.6554282,20.208667755127,0.191720142960548,g,99.0,2.0,0.0
28,2459839.6576042,19.9990119934082,0.166007429361343,g,99.0,2.0,0.0
30,2459839.7613657,20.1817836761475,0.171533778309822,g,99.0,2.0,0.0
31,2459839.7776273,19.9986190795898,0.132314950227737,g,99.0,1.0,0.0
32,2459839.7785764,20.1525745391846,0.160933449864388,g,99.0,2.0,0.0
33,2459839.8312153,20.0662002563477,0.185207322239876,g,99.0,2.0,0.0
34,2459840.7315625,20.0732803344727,0.15091960132122,g,99.0,2.0,0.0
35,2459840.7889005,20.0082855224609,0.170669794082642,g,99.0,2.0,0.0
36,2459840.8226968,20.0014533996582,0.151582688093185,g,99.0,2.0,0.0
37,2459840.8483681,19.9660034179688,0.164558187127113,g,99.0,2.0,0.0
38,2459840.8833681,20.0851383209229,0.193005979061127,g,99.0,2.0,0.0
39,2459838.6554282,20.208667755127,0.191720142960548,g,99.0,2.0,0.0
40,2459839.6576042,19.9990119934082,0.166007429361343,g,99.0,2.0,0.0
42,2459839.7776273,19.9986190795898,0.132314950227737,g,99.0,1.0,0.0
43,2459839.7785764,20.1525745391846,0.160933449864388,g,99.0,2.0,0.0
44,2459839.8312153,20.0662002563477,0.185207322239876,g,99.0,2.0,0.0
45,2459840.7315625,20.0732803344727,0.15091960132122,g,99.0,2.0,0.0
46,2459840.7889005,20.0082855224609,0.170669794082642,g,99.0,2.0,0.0
47,2459840.8226968,20.0014533996582,0.151582688093185,g,99.0,2.0,0.0
48,2459840.8483681,19.9660034179688,0.164558187127113,g,99.0,2.0,0.0
49,2459840.8833681,20.0851383209229,0.193005979061127,g,99.0,2.0,0.0
50,2459838.6554282,20.208667755127,0.191720142960548,g,99.0,2.0,0.0
52,2459839.7776273,19.9986190795898,0.132314950227737,g,99.0,1.0,0.0
53,2459839.7785764,20.1525745391846,0.160933449864388,g,99.0,2.0,0.0
54,2459839.8312153,20.0662002563477,0.185207322239876,g,99.0,2.0,0.0
55,2459840.7315625,20.0732803344727,0.15091960132122,g,99.0,2.0,0.0
56,2459840.7889005,20.0082855224609,0.170669794082642,g,99.0,2.0,0.0
57,2459840.8226968,20.0014533996582,0.151582688093185,g,99.0,2.0,0.0
58,2459840.8483681,19.9660034179688,0.164558187127113,g,99.0,2.0,0.0
59,2459840.8833681,20.0851383209229,0.193005979061127,g,99.0,2.0,0.0
60,2459838.6554282,20.208667755127,0.191720142960548,g,99.0,2.0,0.0
