,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459723.9159838,99.0,99.0,g,21.4353669232346,2.0,1.0
1,2459723.9164583,99.0,99.0,g,21.2614852868207,2.0,1.0
2,2459723.9408218,99.0,99.0,r,21.1101546647367,2.0,1.0
3,2459723.9412963,99.0,99.0,r,20.8061485630092,2.0,1.0
4,2459724.809919,99.0,99.0,r,21.3580684092619,2.0,1.0
5,2459724.8607639,99.0,99.0,g,21.2969147637076,2.0,1.0
6,2459724.8612384,99.0,99.0,g,21.3999374392151,2.0,1.0
7,2459724.9154051,99.0,99.0,r,21.3518563019014,2.0,1.0
8,2459724.9158796,99.0,99.0,r,21.4361993935657,2.0,1.0
9,2459724.9353704,99.0,99.0,r,21.3378083577449,2.0,1.0
10,2459724.9451968,99.0,99.0,g,21.4136136104873,2.0,1.0
11,2459724.9456713,99.0,99.0,g,21.3274213477707,2.0,1.0
12,2459725.7758912,99.0,99.0,g,21.2885308742266,2.0,1.0
13,2459725.7763657,99.0,99.0,g,21.4526981720359,2.0,1.0
14,2459725.8221759,99.0,99.0,r,21.2788807962972,2.0,1.0
15,2459725.8610417,99.0,99.0,g,21.5520907024686,2.0,1.0
16,2459725.8615162,99.0,99.0,g,21.2448149253465,2.0,1.0
17,2459725.8898032,99.0,99.0,r,21.3987174795571,2.0,1.0
18,2459725.8902778,99.0,99.0,r,21.516075161781,2.0,1.0
19,2459725.9330324,99.0,99.0,r,21.4238351825657,2.0,1.0
20,2459726.7681481,99.0,99.0,i,20.4685153746548,2.0,1.0
21,2459726.7788194,99.0,99.0,g,21.643020082572,2.0,1.0
22,2459726.8126505,99.0,99.0,g,21.650043693676,2.0,1.0
23,2459726.8281134,99.0,99.0,g,21.3680749734002,2.0,1.0
24,2459726.8586227,99.0,99.0,r,21.4646165379463,2.0,1.0
25,2459726.892419,99.0,99.0,r,21.2869994282936,2.0,1.0
26,2459726.8991204,99.0,99.0,r,21.4238172348533,2.0,1.0
27,2459726.8995949,99.0,99.0,r,21.4172473075155,2.0,1.0
28,2459726.9314583,99.0,99.0,i,20.8933432054901,2.0,1.0
29,2459726.9431366,99.0,99.0,g,21.3768346922208,2.0,1.0
30,2459727.7591088,99.0,99.0,r,20.6299124928171,2.0,1.0
31,2459727.7605208,99.0,99.0,r,20.2468642786243,2.0,1.0
32,2459727.8194097,99.0,99.0,r,20.4704636774743,2.0,1.0
33,2459727.8269444,99.0,99.0,r,20.172421402818,2.0,1.0
34,2459727.8545833,99.0,99.0,g,20.7953435732468,2.0,1.0
35,2459727.8717014,99.0,99.0,g,21.0235156456509,2.0,1.0
36,2459727.9324537,99.0,99.0,g,21.1493541396443,2.0,1.0
37,2459727.9329282,99.0,99.0,g,21.199506554989,2.0,1.0
38,2459729.8944907,20.9869985169508,0.147216211849291,g,21.4089952102334,2.0,1.0
39,2459729.8949653,20.8998777385261,0.183955637056998,g,21.0799807758591,2.0,1.0
40,2459729.9051852,21.187264894074,0.19760965610084,g,21.2896302772625,2.0,1.0
41,2459729.9337269,99.0,99.0,g,20.9188103844055,2.0,1.0
42,2459729.9467824,99.0,99.0,r,21.2591762008023,2.0,1.0
43,2459729.9472454,99.0,99.0,r,21.3360926162226,2.0,1.0
44,2459730.7872569,21.1246778321541,0.173277951143527,r,21.369705360824,2.0,1.0
45,2459730.7887616,21.361729111814,0.188610329091671,r,21.5147012188114,2.0,1.0
46,2459730.8293866,21.5614765576455,0.21175136548684,g,21.5887967977957,2.0,1.0
47,2459730.8421875,99.0,99.0,i,20.8225467201474,2.0,1.0
48,2459730.8426505,99.0,99.0,i,20.741927072589,2.0,1.0
49,2459730.8726968,20.7788315755328,0.108963030577651,g,21.5275194303122,2.0,1.0
50,2459730.8820486,20.7893657827222,0.116543494691038,g,21.4650314798884,2.0,1.0
51,2459730.8825231,20.9226713050164,0.124227119173651,g,21.5290160589786,2.0,1.0
52,2459730.9042593,21.2703020938287,0.163020547033341,r,21.5815820176031,2.0,1.0
53,2459730.918588,21.5760486352342,0.228286010824627,r,21.521736176566,2.0,1.0
54,2459729.8944907,20.9125995635986,0.284743994474411,g,99.0,2.0,0.0
55,2459730.7872569,21.0137004852295,0.3074010014534,r,99.0,2.0,0.0
56,2459730.8293866,21.0755996704102,0.336392998695374,g,99.0,2.0,0.0
57,2459730.8726968,20.6229991912842,0.218766003847122,g,99.0,2.0,0.0
58,2459730.8810995,20.9883003234863,0.279069006443024,g,99.0,1.0,0.0
59,2459730.8820486,20.7646713256836,0.214241117238998,g,99.0,2.0,0.0
60,2459730.7872569,21.0137004852295,0.3074010014534,r,99.0,2.0,0.0
61,2459730.8293866,21.0755996704102,0.336392998695374,g,99.0,2.0,0.0
62,2459730.8726968,20.6229991912842,0.218766003847122,g,99.0,2.0,0.0
63,2459730.8810995,20.9883003234863,0.279069006443024,g,99.0,1.0,0.0
64,2459730.8820486,20.7646713256836,0.214241117238998,g,99.0,2.0,0.0
65,2459730.8293866,21.0755996704102,0.336392998695374,g,99.0,2.0,0.0
