,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459893.9531713,99.0,99.0,g,20.0297989026484,2.0,1.0
1,2459893.9649769,99.0,99.0,r,20.2389930210953,2.0,1.0
2,2459894.7935185,99.0,99.0,r,19.7574436832913,2.0,1.0
3,2459895.786956,99.0,99.0,g,19.996237632951,2.0,1.0
4,2459895.8051968,99.0,99.0,r,20.3806787143886,2.0,1.0
5,2459895.8463426,99.0,99.0,i,20.1278486118914,2.0,1.0
6,2459896.7977431,99.0,99.0,r,19.9172448543803,2.0,1.0
7,2459896.8804398,99.0,99.0,g,19.9297413939733,2.0,1.0
8,2459896.9786343,99.0,99.0,r,20.2057344045877,2.0,1.0
9,2459897.8201852,99.0,99.0,r,20.1751363856087,2.0,1.0
10,2459897.861169,99.0,99.0,r,20.1903707293598,2.0,1.0
11,2459897.9514005,20.5629537696127,0.225478709384842,g,20.5220757079497,2.0,1.0
12,2459898.8044676,99.0,99.0,g,19.7032984731151,2.0,1.0
13,2459898.8625694,20.0327856988924,0.124782605651497,i,20.63428636268,2.0,1.0
14,2459898.8794329,19.8248473763826,0.0805436536165112,r,20.901654850076,2.0,1.0
15,2459898.9456597,19.9374415618835,0.0841752820998835,g,20.9663658996486,2.0,1.0
16,2459898.9757407,19.9903706953343,0.087244178196481,r,20.9804153441012,2.0,1.0
17,2459899.7893634,99.0,99.0,g,19.7223071693233,2.0,1.0
18,2459899.9680787,19.8887657301995,0.20778905387708,r,19.9365948552465,2.0,1.0
19,2459899.991412,20.267204301238,0.258485127751912,g,20.0780011890764,2.0,1.0
20,2459900.8241667,19.5976954042886,0.182139521538733,g,19.7885707148909,2.0,1.0
21,2459900.8815046,19.5244091519136,0.127827693306084,r,20.0997325610046,2.0,1.0
22,2459900.9681713,19.9546558407654,0.135029501674743,g,20.4704699676045,2.0,1.0
24,2459900.9876968,19.7033009717857,0.0761925181674371,g,20.8404059427029,2.0,1.0
25,2459901.0103819,19.5972102313313,0.0804631824621139,r,20.6751030061855,2.0,1.0
26,2459898.8794329,19.9217338562012,0.201708883047104,r,99.0,2.0,0.0
27,2459898.9456597,19.9410305023193,0.14594092965126,g,99.0,2.0,0.0
28,2459899.9309375,19.9034004211426,0.374913990497589,g,99.0,1.0,0.0
29,2459900.8815046,19.4801998138428,0.221059992909431,r,99.0,2.0,0.0
30,2459900.9681713,19.8516998291016,0.261503010988235,g,99.0,2.0,0.0
31,2459900.9876968,19.7176895141602,0.151252076029778,g,99.0,2.0,0.0
32,2459901.0103819,19.598201751709,0.170040443539619,r,99.0,2.0,0.0
33,2459898.8794329,19.9217338562012,0.201708883047104,r,99.0,2.0,0.0
34,2459899.9309375,19.9034004211426,0.374913990497589,g,99.0,1.0,0.0
35,2459900.8815046,19.4801998138428,0.221059992909431,r,99.0,2.0,0.0
36,2459900.9681713,19.8516998291016,0.261503010988235,g,99.0,2.0,0.0
37,2459900.9876968,19.7176895141602,0.151252076029778,g,99.0,2.0,0.0
38,2459901.0103819,19.598201751709,0.170040443539619,r,99.0,2.0,0.0
39,2459898.8794329,19.9217338562012,0.201708883047104,r,99.0,2.0,0.0
40,2459899.9309375,19.9034004211426,0.374913990497589,g,99.0,1.0,0.0
41,2459900.8815046,19.4801998138428,0.221059992909431,r,99.0,2.0,0.0
42,2459900.9876968,19.7176895141602,0.151252076029778,g,99.0,2.0,0.0
43,2459901.0103819,19.598201751709,0.170040443539619,r,99.0,2.0,0.0
44,2459898.8794329,19.9217338562012,0.201708883047104,r,99.0,2.0,0.0
45,2459899.9309375,19.9034004211426,0.374913990497589,g,99.0,1.0,0.0
46,2459900.8815046,19.4801998138428,0.221059992909431,r,99.0,2.0,0.0
47,2459901.0103819,19.598201751709,0.170040443539619,r,99.0,2.0,0.0
48,2459899.9309375,19.9034004211426,0.374913990497589,g,99.0,1.0,0.0
49,2459900.8815046,19.4801998138428,0.221059992909431,r,99.0,2.0,0.0
50,2459901.0103819,19.598201751709,0.170040443539619,r,99.0,2.0,0.0
51,2459900.8815046,19.4801998138428,0.221059992909431,r,99.0,2.0,0.0
52,2459901.0103819,19.598201751709,0.170040443539619,r,99.0,2.0,0.0
53,2459901.0103819,19.598201751709,0.170040443539619,r,99.0,2.0,0.0
