,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459871.8913079,18.1003854305733,0.0259782316183932,g,20.4057472581832,2.0,1.0
3,2459874.8740046,99.0,99.0,r,21.0710168448355,2.0,1.0
5,2459876.8948727,99.0,99.0,r,20.2869846058383,2.0,1.0
7,2459877.8913773,99.0,99.0,r,20.8668647444067,2.0,1.0
9,2459870.8746644,17.9782371520996,0.0515988543629646,g,99.0,1.0,0.0
10,2459870.9191319,17.9915237426758,0.0527460314333439,r,99.0,1.0,0.0
11,2459871.8913079,18.1085052490234,0.0663492530584335,g,99.0,2.0,0.0
13,2459872.841713,18.8811283111572,0.0688269659876823,g,99.0,1.0,0.0
14,2459870.8746644,17.9782371520996,0.0515988543629646,g,99.0,1.0,0.0
15,2459870.9191319,17.9915237426758,0.0527460314333439,r,99.0,1.0,0.0
17,2459872.841713,18.8811283111572,0.0688269659876823,g,99.0,1.0,0.0
18,2459870.9191319,17.9915237426758,0.0527460314333439,r,99.0,1.0,0.0
20,2459872.841713,18.8811283111572,0.0688269659876823,g,99.0,1.0,0.0
22,2459872.841713,18.8811283111572,0.0688269659876823,g,99.0,1.0,0.0
23,2459872.841713,18.8811283111572,0.0688269659876823,g,99.0,1.0,0.0
