,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459622.7635995,20.0161991119385,0.313762992620468,g,99.0,1,0.0
1,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
2,2459622.9556829,19.6443634033203,0.210774585604668,r,99.0,2,0.0
3,2459623.6448264,19.8485908508301,0.212745770812035,r,99.0,2,0.0
4,2459623.6666435,19.8080005645752,0.304361999034882,g,99.0,2,0.0
5,2459623.8847917,19.7259998321533,0.278008997440338,r,99.0,2,0.0
6,2459623.9233218,19.9556007385254,0.283688008785248,g,99.0,2,0.0
7,2459624.8455208,19.8189888000488,0.171567320823669,r,99.0,2,0.0
8,2459624.8930208,19.6601009368896,0.220682993531227,r,99.0,2,0.0
9,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
10,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
11,2459622.7635995,20.0161991119385,0.313762992620468,g,99.0,1,0.0
12,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
13,2459622.9556829,19.6443634033203,0.210774585604668,r,99.0,2,0.0
14,2459623.6448264,19.8485908508301,0.212745770812035,r,99.0,2,0.0
15,2459623.8847917,19.7259998321533,0.278008997440338,r,99.0,2,0.0
16,2459623.9233218,19.9556007385254,0.283688008785248,g,99.0,2,0.0
17,2459624.8455208,19.8189888000488,0.171567320823669,r,99.0,2,0.0
18,2459624.8930208,19.6601009368896,0.220682993531227,r,99.0,2,0.0
19,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
20,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
21,2459622.7635995,20.0161991119385,0.313762992620468,g,99.0,1,0.0
22,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
23,2459623.6448264,19.8485908508301,0.212745770812035,r,99.0,2,0.0
24,2459623.8847917,19.7259998321533,0.278008997440338,r,99.0,2,0.0
25,2459623.9233218,19.9556007385254,0.283688008785248,g,99.0,2,0.0
26,2459624.8455208,19.8189888000488,0.171567320823669,r,99.0,2,0.0
27,2459624.8930208,19.6601009368896,0.220682993531227,r,99.0,2,0.0
28,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
29,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
30,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
31,2459623.6448264,19.8485908508301,0.212745770812035,r,99.0,2,0.0
32,2459623.8847917,19.7259998321533,0.278008997440338,r,99.0,2,0.0
33,2459623.9233218,19.9556007385254,0.283688008785248,g,99.0,2,0.0
34,2459624.8455208,19.8189888000488,0.171567320823669,r,99.0,2,0.0
35,2459624.8930208,19.6601009368896,0.220682993531227,r,99.0,2,0.0
36,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
37,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
38,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
39,2459623.8847917,19.7259998321533,0.278008997440338,r,99.0,2,0.0
40,2459623.9233218,19.9556007385254,0.283688008785248,g,99.0,2,0.0
41,2459624.8455208,19.8189888000488,0.171567320823669,r,99.0,2,0.0
42,2459624.8930208,19.6601009368896,0.220682993531227,r,99.0,2,0.0
43,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
44,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
45,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
46,2459623.9233218,19.9556007385254,0.283688008785248,g,99.0,2,0.0
47,2459624.8455208,19.8189888000488,0.171567320823669,r,99.0,2,0.0
48,2459624.8930208,19.6601009368896,0.220682993531227,r,99.0,2,0.0
49,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
50,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
51,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
52,2459624.8455208,19.8189888000488,0.171567320823669,r,99.0,2,0.0
53,2459624.8930208,19.6601009368896,0.220682993531227,r,99.0,2,0.0
54,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
55,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
56,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
57,2459624.8930208,19.6601009368896,0.220682993531227,r,99.0,2,0.0
58,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
59,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
60,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
61,2459625.6461458,19.7707996368408,0.221945002675056,r,99.0,2,0.0
62,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
63,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
64,2459628.6415625,20.021484375,0.196608647704124,r,99.0,2,0.0
65,2459622.874537,19.8171005249023,0.233931005001068,r,99.0,1,0.0
