,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459417.7279861,99.0,99.0,r,18.5340606988443,2.0,1.0
1,2459417.7802662,99.0,99.0,r,18.1526897923946,2.0,1.0
2,2459417.8711227,99.0,99.0,g,18.1259352699507,2.0,1.0
3,2459418.6853472,99.0,99.0,g,20.1683239923663,2.0,1.0
4,2459418.7143634,99.0,99.0,r,19.5087811867094,2.0,1.0
5,2459418.7677431,99.0,99.0,r,19.4332511488956,2.0,1.0
7,2459418.8084606,99.0,99.0,i,19.07372022676,2.0,1.0
8,2459418.8472569,99.0,99.0,g,19.5178368872103,2.0,1.0
9,2459418.86625,99.0,99.0,r,19.7743257102238,2.0,1.0
10,2459419.7495718,99.0,99.0,r,19.7336430754371,2.0,1.0
11,2459419.8197685,99.0,99.0,r,19.8726614062508,2.0,1.0
12,2459419.897662,99.0,99.0,g,18.3548319571419,2.0,1.0
13,2459422.8168056,16.8776073981658,0.0127627231379668,i,19.9546348168086,2.0,1.0
14,2459423.717963,16.2272373781249,0.0056777862137391,g,20.1836755773077,2.0,1.0
15,2459423.7420833,16.6369790355381,0.00763208282242422,r,20.2722571380497,2.0,1.0
16,2459423.7781713,16.555827358955,0.00917165016562262,r,19.9915944453627,2.0,1.0
17,2459423.8483449,16.3156997382777,0.0130300222139992,g,19.3702226370882,2.0,1.0
18,2459422.8168056,16.869478225708,0.0471290200948715,i,99.0,2.0,0.0
19,2459423.7170255,16.2440376281738,0.0348586775362492,g,99.0,1.0,0.0
20,2459423.7420833,16.6548843383789,0.0300205424427986,r,99.0,2.0,0.0
21,2459423.7430208,16.6494102478027,0.0354871489107609,r,99.0,1.0,0.0
22,2459423.7781713,16.5866432189941,0.0374969281256199,r,99.0,2.0,0.0
23,2459423.8483449,16.3317794799805,0.0425713993608952,g,99.0,2.0,0.0
24,2459422.8168056,16.869478225708,0.0471290200948715,i,99.0,2.0,0.0
25,2459423.7170255,16.2440376281738,0.0348586775362492,g,99.0,1.0,0.0
26,2459423.7420833,16.6548843383789,0.0300205424427986,r,99.0,2.0,0.0
27,2459423.7781713,16.5866432189941,0.0374969281256199,r,99.0,2.0,0.0
28,2459423.8483449,16.3317794799805,0.0425713993608952,g,99.0,2.0,0.0
29,2459422.8168056,16.869478225708,0.0471290200948715,i,99.0,2.0,0.0
30,2459423.7420833,16.6548843383789,0.0300205424427986,r,99.0,2.0,0.0
31,2459423.7781713,16.5866432189941,0.0374969281256199,r,99.0,2.0,0.0
32,2459423.8483449,16.3317794799805,0.0425713993608952,g,99.0,2.0,0.0
33,2459422.8168056,16.869478225708,0.0471290200948715,i,99.0,2.0,0.0
34,2459423.7420833,16.6548843383789,0.0300205424427986,r,99.0,2.0,0.0
35,2459423.8483449,16.3317794799805,0.0425713993608952,g,99.0,2.0,0.0
36,2459422.8168056,16.869478225708,0.0471290200948715,i,99.0,2.0,0.0
37,2459423.7420833,16.6548843383789,0.0300205424427986,r,99.0,2.0,0.0
38,2459423.7420833,16.6548843383789,0.0300205424427986,r,99.0,2.0,0.0
