,jd,mag,mag_unc,filter,limmag,programid,forced
4,2459708.6747106,19.1918444726883,0.0752423850845359,r,20.3425738776302,2.0,1.0
8,2459709.725625,19.6170529176095,0.111967940169648,r,20.3362044848596,2.0,1.0
18,2459708.6747106,19.1728668212891,0.121689960360527,r,99.0,2.0,0.0
21,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
24,2459709.7624537,19.7318668365479,0.182028606534004,r,99.0,1.0,0.0
31,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
34,2459709.7624537,19.7318668365479,0.182028606534004,r,99.0,1.0,0.0
40,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
43,2459709.7624537,19.7318668365479,0.182028606534004,r,99.0,1.0,0.0
49,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
51,2459709.7624537,19.7318668365479,0.182028606534004,r,99.0,1.0,0.0
57,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
58,2459709.7624537,19.7318668365479,0.182028606534004,r,99.0,1.0,0.0
64,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
70,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
74,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
77,2459709.6988194,19.7649574279785,0.210627600550652,r,99.0,1.0,0.0
