,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459755.7279514,99.0,99.0,i,20.8195431044753,2.0,1.0
1,2459755.7737963,99.0,99.0,g,21.5658090976846,2.0,1.0
2,2459755.7952778,99.0,99.0,r,21.4544582664333,2.0,1.0
3,2459755.8514815,99.0,99.0,r,21.3598295787871,2.0,1.0
4,2459755.8926505,99.0,99.0,g,21.2664784654732,2.0,1.0
5,2459756.8580208,99.0,99.0,r,21.293761889356,2.0,1.0
6,2459757.7703241,99.0,99.0,g,21.1679086029473,2.0,1.0
7,2459757.8380556,99.0,99.0,g,21.5143580739225,2.0,1.0
8,2459758.8111227,99.0,99.0,r,21.1766865528963,2.0,1.0
9,2459758.8609954,19.9633878454314,0.107339196070565,r,20.7283777888628,2.0,1.0
10,2459758.8876389,19.9747274948733,0.101417371654272,r,20.8013324061504,2.0,1.0
11,2459759.7362963,99.0,99.0,i,21.0195717061649,2.0,1.0
12,2459759.7575463,99.0,99.0,g,21.5050632852207,2.0,1.0
13,2459759.7977546,99.0,99.0,r,21.552590262025,2.0,1.0
14,2459759.8592361,99.0,99.0,g,21.3597385105677,2.0,1.0
15,2459760.749375,99.0,99.0,g,21.5089046668604,2.0,1.0
16,2459760.8065856,99.0,99.0,r,21.3467732184688,2.0,1.0
17,2459760.8426968,19.9886579187931,0.0981800557682678,r,20.8504855217544,2.0,1.0
18,2459760.9016319,19.7413269917884,0.091496040042137,r,20.6797070354695,2.0,1.0
19,2459758.8493634,19.6356048583984,0.175478711724281,r,99.0,1.0,0.0
20,2459760.8359606,19.7043514251709,0.14538511633873,r,99.0,1.0,0.0
21,2459760.9016319,19.586404800415,0.172124058008194,r,99.0,2.0,0.0
22,2459758.8493634,19.6356048583984,0.175478711724281,r,99.0,1.0,0.0
23,2459760.8359606,19.7043514251709,0.14538511633873,r,99.0,1.0,0.0
24,2459760.8359606,19.7043514251709,0.14538511633873,r,99.0,1.0,0.0
