,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459762.8839699,99.0,99.0,r,21.3168844249328,2.0,1.0
1,2459763.7149074,99.0,99.0,g,21.4420248489292,2.0,1.0
2,2459763.8046644,99.0,99.0,r,21.3307053618788,2.0,1.0
3,2459763.8542361,99.0,99.0,r,21.2712597543948,2.0,1.0
4,2459763.8786111,99.0,99.0,g,21.5563210446307,2.0,1.0
5,2459764.8045949,99.0,99.0,r,21.2383016480485,2.0,1.0
6,2459764.8241088,99.0,99.0,g,21.5654193170501,2.0,1.0
7,2459764.8439352,99.0,99.0,g,21.4442483590502,2.0,1.0
8,2459764.8615278,99.0,99.0,r,21.1022586041183,2.0,1.0
9,2459765.7845949,99.0,99.0,g,21.4026046664521,2.0,1.0
10,2459765.8062616,99.0,99.0,i,20.4408072202993,2.0,1.0
11,2459765.8109838,99.0,99.0,i,20.6645897362913,2.0,1.0
12,2459765.8275463,99.0,99.0,r,21.3344357613598,2.0,1.0
13,2459765.8465972,99.0,99.0,r,21.2299339345997,2.0,1.0
14,2459765.8860995,99.0,99.0,g,21.3711650996618,2.0,1.0
15,2459766.7550579,99.0,99.0,r,21.1177983360465,2.0,1.0
16,2459766.8059028,99.0,99.0,g,21.3389624647299,2.0,1.0
17,2459766.825,99.0,99.0,g,21.57841015326,2.0,1.0
18,2459766.8497917,99.0,99.0,r,21.3358114644082,2.0,1.0
19,2459768.7444213,99.0,99.0,g,20.9550639065095,2.0,1.0
20,2459768.7448958,99.0,99.0,g,20.8707877681177,2.0,1.0
21,2459768.8038889,99.0,99.0,g,21.1485515195961,2.0,1.0
22,2459768.8514005,21.1656560981773,0.187595617152683,g,21.3244851682143,2.0,1.0
23,2459768.8648611,99.0,99.0,g,21.4512561465577,2.0,1.0
24,2459768.9258218,99.0,99.0,g,21.1100384686378,2.0,1.0
25,2459769.7208681,20.2328786540344,0.114171230221882,g,20.9308727413632,2.0,1.0
26,2459769.7519097,20.6319984700479,0.168603593949558,g,20.9067171896478,2.0,1.0
27,2459769.804838,20.5152296880344,0.18901115077576,g,20.6658969114344,2.0,1.0
28,2459769.8428935,20.6153301820991,0.152048110578214,g,21.0022634017783,2.0,1.0
29,2459769.8743866,20.1986913175554,0.0885911612823104,g,21.1721011201515,2.0,1.0
30,2459769.8962153,20.5569757149031,0.141895304907923,g,21.0189414400568,2.0,1.0
31,2459770.7468287,20.3050050616564,0.130317146695659,g,20.8593869445174,2.0,1.0
32,2459770.7473032,20.1322167801376,0.132684008017505,g,20.6670561145223,2.0,1.0
33,2459770.7677083,19.8393881258694,0.108394871134866,g,20.5937520814688,2.0,1.0
34,2459770.8190046,20.1394899264754,0.123307429470418,g,20.7539026047587,2.0,1.0
35,2459770.8643519,19.8448707361149,0.0825751610092112,g,20.8946329522725,2.0,1.0
36,2459771.7337037,19.8535035241504,0.137762338621776,g,20.3475630466033,2.0,1.0
37,2459771.8037731,19.7866515225481,0.102601281945068,g,20.6006553439546,2.0,1.0
38,2459771.8311227,19.8172974844856,0.0927152107795159,g,20.7413057986339,2.0,1.0
39,2459771.8668403,19.9463148357039,0.117907964522396,g,20.6093427695787,2.0,1.0
40,2459772.7080208,19.957776572161,0.119407316545949,r,20.6070850149939,2.0,1.0
41,2459772.7276852,19.7981093272891,0.0997532890230459,r,20.6426770564607,2.0,1.0
42,2459772.7836343,20.1039554894429,0.13660092842807,r,20.6072071507815,2.0,1.0
43,2459772.7845833,19.8863713382751,0.111488091246231,r,20.6101859271182,2.0,1.0
44,2459772.9299769,19.9836138547453,0.160688079413784,r,20.3105404938829,2.0,1.0
45,2459768.8514005,21.137300491333,0.371349006891251,g,99.0,2.0,0.0
46,2459769.7832523,20.4090003967285,0.283686995506287,g,99.0,1.0,0.0
47,2459769.8428935,20.595100402832,0.294957011938095,g,99.0,2.0,0.0
48,2459769.8438426,20.657600402832,0.259451985359192,g,99.0,1.0,0.0
49,2459769.8743866,20.2251434326172,0.193761765956879,g,99.0,2.0,0.0
50,2459769.8962153,20.5280990600586,0.274022996425629,g,99.0,2.0,0.0
51,2459770.714838,19.9941825866699,0.216781795024872,g,99.0,1.0,0.0
52,2459770.8030093,20.3355007171631,0.294815003871918,g,99.0,1.0,0.0
53,2459770.8190046,20.1319007873535,0.241551995277405,g,99.0,2.0,0.0
54,2459770.8643519,19.8012294769287,0.197693541646004,g,99.0,2.0,0.0
55,2459771.799375,19.8753986358643,0.183559462428093,g,99.0,1.0,0.0
56,2459771.864456,19.9828853607178,0.214914888143539,g,99.0,1.0,0.0
57,2459768.8514005,21.137300491333,0.371349006891251,g,99.0,2.0,0.0
58,2459769.7832523,20.4090003967285,0.283686995506287,g,99.0,1.0,0.0
59,2459769.8428935,20.595100402832,0.294957011938095,g,99.0,2.0,0.0
60,2459769.8743866,20.2251434326172,0.193761765956879,g,99.0,2.0,0.0
61,2459769.8962153,20.5280990600586,0.274022996425629,g,99.0,2.0,0.0
62,2459770.714838,19.9941825866699,0.216781795024872,g,99.0,1.0,0.0
63,2459770.8030093,20.3355007171631,0.294815003871918,g,99.0,1.0,0.0
64,2459770.8190046,20.1319007873535,0.241551995277405,g,99.0,2.0,0.0
65,2459770.8643519,19.8012294769287,0.197693541646004,g,99.0,2.0,0.0
66,2459771.799375,19.8753986358643,0.183559462428093,g,99.0,1.0,0.0
67,2459771.864456,19.9828853607178,0.214914888143539,g,99.0,1.0,0.0
68,2459768.8514005,21.137300491333,0.371349006891251,g,99.0,2.0,0.0
69,2459769.7832523,20.4090003967285,0.283686995506287,g,99.0,1.0,0.0
70,2459769.8743866,20.2251434326172,0.193761765956879,g,99.0,2.0,0.0
71,2459769.8962153,20.5280990600586,0.274022996425629,g,99.0,2.0,0.0
72,2459770.714838,19.9941825866699,0.216781795024872,g,99.0,1.0,0.0
73,2459770.8030093,20.3355007171631,0.294815003871918,g,99.0,1.0,0.0
74,2459770.8190046,20.1319007873535,0.241551995277405,g,99.0,2.0,0.0
75,2459770.8643519,19.8012294769287,0.197693541646004,g,99.0,2.0,0.0
76,2459771.799375,19.8753986358643,0.183559462428093,g,99.0,1.0,0.0
77,2459771.864456,19.9828853607178,0.214914888143539,g,99.0,1.0,0.0
78,2459768.8514005,21.137300491333,0.371349006891251,g,99.0,2.0,0.0
79,2459769.7832523,20.4090003967285,0.283686995506287,g,99.0,1.0,0.0
80,2459769.8962153,20.5280990600586,0.274022996425629,g,99.0,2.0,0.0
81,2459770.714838,19.9941825866699,0.216781795024872,g,99.0,1.0,0.0
82,2459770.8030093,20.3355007171631,0.294815003871918,g,99.0,1.0,0.0
83,2459770.8190046,20.1319007873535,0.241551995277405,g,99.0,2.0,0.0
84,2459770.8643519,19.8012294769287,0.197693541646004,g,99.0,2.0,0.0
