,jd,mag,mag_unc,filter,limmag,programid,forced
3,2459774.8568634,99.0,99.0,r,19.6401781682054,2.0,1.0
8,2459778.8565741,20.5346511503583,0.226574295108785,r,20.4885103455964,2.0,1.0
10,2459779.8583102,20.2588626640867,0.126406413030352,r,20.8463256837979,2.0,1.0
14,2459780.8948611,20.0322369555575,0.100949618747051,g,20.8638610369045,2.0,1.0
16,2459781.8165162,20.2093354755208,0.132700158606609,g,20.7440426597508,2.0,1.0
18,2459781.8913773,20.0983467755582,0.157943591303016,g,20.4439775428327,2.0,1.0
21,2459779.9388889,20.1471996307373,0.233713001012802,r,99.0,1.0,0.0
24,2459780.8948611,19.9529266357422,0.200157523155212,g,99.0,2.0,0.0
26,2459781.8165162,20.1886005401611,0.228208005428314,g,99.0,2.0,0.0
27,2459781.8592245,20.0662002563477,0.247868001461029,g,99.0,1.0,0.0
30,2459779.9388889,20.1471996307373,0.233713001012802,r,99.0,1.0,0.0
34,2459781.8165162,20.1886005401611,0.228208005428314,g,99.0,2.0,0.0
35,2459781.8592245,20.0662002563477,0.247868001461029,g,99.0,1.0,0.0
38,2459779.9388889,20.1471996307373,0.233713001012802,r,99.0,1.0,0.0
41,2459781.8165162,20.1886005401611,0.228208005428314,g,99.0,2.0,0.0
42,2459781.8592245,20.0662002563477,0.247868001461029,g,99.0,1.0,0.0
47,2459781.8165162,20.1886005401611,0.228208005428314,g,99.0,2.0,0.0
48,2459781.8592245,20.0662002563477,0.247868001461029,g,99.0,1.0,0.0
52,2459781.8165162,20.1886005401611,0.228208005428314,g,99.0,2.0,0.0
53,2459781.8592245,20.0662002563477,0.247868001461029,g,99.0,1.0,0.0
56,2459781.8165162,20.1886005401611,0.228208005428314,g,99.0,2.0,0.0
57,2459781.8592245,20.0662002563477,0.247868001461029,g,99.0,1.0,0.0
60,2459781.8592245,20.0662002563477,0.247868001461029,g,99.0,1.0,0.0
